Country,Value,Latitude,Longitude,ID
Afghanistan,7.45,33.93,67.8,004
India,5.903,23,78,356
Algeria,7.278,28.157539,1.646637,12
Angola,6,-12.207292,17.954853,24
Russia,2.85,62.158016,92.242536,643
Australia,3.18,-25.27,133.77,36
Brazil,6.1,-9.190165,-56.80802,76
SouthAfrica,6.05,-30.55,22.93,710
UK,2.18,53.867853,-1.999551,826
UnitedStates,3.311,40.702469,-100.949339,840
