Country Name,Population
Australia,13.988
Austria,41.703
Bahrain,10.713
Brazil,13.431
Canada,18.589
Chile,12.436
China,40.848
Germany,22.688
Spain,19.679
Fiji,43.752
France,19.556
Hungary,28.649
India,65.97
Japan,8.384
Mexico,19.844
Nepal,80.26
Peru,22.093
Sri Lanka,81.5
Sudan,65.358
Vietnam,64.081
